"","Var.1","Date","Town","State.Province","Latitude","Longitude","Number","Image"
"2121",1012,"04/02/06","Saltillo","MS",34.4,-88.6,1,NA
"2122",1013,"04/02/06","Bell Buckle","TN",35.6,-86.4,1,NA
"2123",1014,"04/02/06","Cadiz","KY",36.8,-87.9,1,NA
"2124",1015,"04/02/06","York","SC",35,-81.2,1,NA
"2125",1016,"04/02/06","Gastonia","NC",35.2,-81.3,1,NA
"2126",1017,"04/02/06","Manchester","TN",35.5,-86.1,1,NA
"2127",1018,"04/02/06","Augusta","GA",33.4,-82,1,NA
"2128",1019,"04/02/06","Bloomington","IN",39.1,-86.5,1,NA
"2129",1020,"04/02/06","Hartwell","GA",34.3,-82.9,1,NA
"2130",1021,"04/02/06","Manteo","NC",35.5,-75.4,1,NA
"2131",1022,"04/02/06","Clover","SC",35.1,-81.2,1,NA
"2132",1023,"04/02/06","Manchester","TN",35.5,-86.1,1,NA
"2133",1024,"04/02/06","Jackson","MO",37.4,-89.6,1,NA
"2134",1025,"04/02/06","Humble","TX",30,-95.2,1,NA
"2135",1026,"04/02/06","Lawrenceburg","TN",35.3,-87.4,1,NA
"2136",1027,"04/02/06","Burnsville","NC",35.9,-82.3,1,NA
"2137",1028,"04/02/06","Woodbury","TN",35.8,-86,1,NA
"2138",1029,"04/02/06","Raleigh","NC",35.8,-78.6,1,NA
"2139",1030,"04/02/06","Weddington","NC",35,-80.5,1,NA
"2140",1031,"04/02/06","Cookeville","TN",36.2,-85.5,1,NA
"2141",1032,"04/02/06","Greenville","SC",34.8,-82.4,1,NA
"2142",1033,"04/02/06","Manchester","TN",35.5,-86.1,1,NA
"2143",1034,"04/02/06","Saint Charles","MO",38.9,-90.5,1,NA
"2144",1035,"04/02/06","Bolivar","TN",35.2,-89,1,NA
"2145",1036,"04/02/06","Charleston","AR",35.3,-94,1,NA
"2146",1037,"04/02/06","Fayetteville","AR",36,-94.1,1,NA
"2147",1038,"04/02/06","Cowan","TN",35.2,-86,1,NA
"2148",1039,"04/02/06","Smithville","TN",35.6,-85.5,1,NA
"2149",1040,"04/02/06","Rock Spring","GA",34.8,-85.2,1,NA
"2150",1041,"04/02/06","West End","NC",35.2,-79.5,1,NA
"2151",1042,"04/02/06","Hennepin","OK",34.5,-97.4,1,NA
"2152",1043,"04/02/06","Rutledge","TN",36.2,-83.5,1,NA
"2153",1044,"04/02/06","Landrum","SC",35.1,-82.3,1,NA
"2154",1045,"04/02/06","Salisbury","NC",35.7,-80.5,1,NA
"2155",1046,"04/02/06","Abbeville","SC",34.2,-82.4,1,NA
"2156",1047,"04/02/06","Valley","AL",32.8,-85.2,1,NA
"2157",1048,"04/02/06","Ringgold","GA",34.9,-85.1,1,NA
"2158",1049,"04/02/06","Lula","GA",34.4,-83.7,1,NA
"2159",1050,"04/02/06","Collierville","TN",35.1,-89.7,1,NA
"2160",1051,"04/02/06","Stockbridge","GA",33.6,-84.2,1,NA
"2161",1052,"04/02/06","Lexington","NC",35.8,-80.3,1,NA
"2162",1053,"04/02/06","Morgan City","LA",29.8,-91.2,1,NA
"2163",1054,"04/02/06","Hudson Oaks","TX",32.5,-97.4,1,NA
"2164",1055,"04/02/06","Lindsay","OK",34.8,-97.6,1,NA
"2165",1056,"04/02/06","Dallas","GA",33.9,-84.9,1,NA
"2166",1057,"04/02/06","Somerville","AL",34.5,-86.8,1,NA
"2167",1058,"04/02/06","Columbia","SC",34,-81,1,NA
"2168",1059,"04/02/06","Antioch","AR",35.1,-91.9,1,NA
"2169",1060,"04/02/06","Pinehurst","NC",35.2,-79.5,1,NA
"2170",1061,"04/02/06","Trenton","GA",34.9,-85.5,1,NA
"2171",1062,"04/02/06","West End","NC",35.2,-79.5,1,NA
"2172",1063,"04/02/06","Youngsville","LA",30.1,-92,1,NA
"2173",1064,"04/02/06","Charlotte","NC",35.2,-80.8,1,NA
"2174",1065,"04/02/06","Gilmer","TX",32.7,-95,1,NA
"2175",1066,"04/02/06","Youngsville","LA",30.1,-92,1,NA
"2176",1067,"04/02/06","Duncan","OK",34.5,-97.8,1,NA
"2177",1068,"04/01/06","farmerville","LA",32.7,-92.2,1,NA
"2178",1069,"04/01/06","Cumming","GA",34.2,-84.2,1,NA
"2179",1070,"04/01/06","Bradyville","TN",35.7,-86.1,1,NA
"2180",1071,"04/01/06","Edmond","OK",35.7,-97.6,1,NA
"2181",1072,"04/01/06","Wake Forest","NC",36,-78.6,1,NA
"2182",1073,"04/01/06","Hot Springs Village","AR",34.7,-93,1,NA
"2183",1074,"04/01/06","Cabot","AR",34.9,-92,1,NA
"2184",1075,"04/01/06","Rockwell","NC",35.5,-80.4,1,NA
"2185",1076,"04/01/06","Broken Bow","OK",34.1,-94.8,1,NA
"2186",1077,"04/01/06","Benton","AR",34.6,-92.7,1,NA
"2187",1078,"04/01/06","Lexington","SC",34,-81.3,1,NA
"2188",1079,"04/01/06","Woodruff","SC",34.8,-82,1,NA
"2189",1080,"04/01/06","Myrtle Beach","SC",33.8,-78.8,1,NA
"2190",1081,"04/01/06","Conover","NC",35.7,-81.2,1,NA
"2191",1082,"04/01/06","Greenville","MS",33.3,-91,1,NA
"2192",1083,"04/01/06","Maynard","AR",36.4,-90.9,1,NA
"2193",1084,"04/01/06","Hot Springs","AR",34.3,-93,1,NA
"2194",1085,"04/01/06","Webbers Falls","OK",35.5,-95.2,1,NA
"2195",1086,"04/01/06","Fort Payne","AL",34.4,-85.7,1,NA
"2196",1087,"04/01/06","Cleveland","TN",35.1,-84.9,1,NA
"2197",1088,"04/01/06","Athens","AL",34.8,-87,1,NA
"2198",1089,"04/01/06","Kannapolis","NC",35.5,-80.7,1,NA
"2199",1090,"04/01/06","Indian Mound","TN",36.5,-87.7,1,NA
"2200",1091,"04/01/06","Reading","OH",39.1,-84.3,1,NA
"2201",1092,"04/01/06","Whitwell","TN",35.2,-85.5,1,NA
"2202",1093,"04/01/06","Sharpsburg","GA",33.4,-84.6,1,NA
"2203",1094,"04/01/06","Stedman","NC",35,-78.7,1,NA
"2204",1095,"04/01/06","Locust","NC",35.3,-80.4,1,NA
"2205",1096,"04/01/06","Stephenville","TX",32.2,-98.2,1,NA
"2206",1097,"04/01/06","Ashdown","AR",33.7,-94.2,1,NA
"2207",1098,"04/01/06","Gray Court","SC",34.6,-82.2,1,NA
"2208",1099,"04/01/06","Whitney","TX",32,-97.3,1,NA
"2209",1100,"04/01/06","Sumter","SC",33.9,-80.4,1,NA
"2210",1101,"04/01/06","Shallote","NC",33.6,-78.2,1,NA
"2211",1102,"04/01/06","Gainesville","GA",34.3,-83.8,1,NA
"2212",1103,"04/01/06","Atlanta","GA",33.8,-84.4,1,NA
"2213",1104,"04/01/06","Decatur","TX",33.3,-97.5,1,NA
"2214",1105,"04/01/06","Bardwell","KY",36.9,-89.1,1,NA
"2215",1106,"04/01/06","Heavener","OK",34.7,-94.5,1,NA
"2216",1107,"04/01/06","Vandalia","OH",39.9,-84.2,1,NA
"2217",1108,"04/01/06","Mechanicsville","MD",38.4,-76.7,1,NA
"2218",1109,"04/01/06","Pottsboro","TX",33.8,-96.7,1,NA
"2219",1110,"04/01/06","Mulberry","AR",35.5,-94,1,NA
"2220",1111,"04/01/06","Crossville","AL",34.3,-86,1,NA
"2221",1112,"04/01/06","Clover","VA",36.9,-78.8,1,NA
"2222",1113,"04/01/06","Concord","NC",35.4,-80.5,1,NA
"2223",1114,"04/01/06","Heber Springs","AR",35.6,-92,1,NA
"2224",1115,"04/01/06","Southern Pines","NC",35.2,-79.4,1,NA
"2225",1116,"04/01/06","Pantego","NC",35.6,-76.7,1,NA
"2226",1117,"04/01/06","Stewart","TN",36.3,-87.9,1,NA
"2227",1118,"04/01/06","Lilesville","NC",35,-80,1,NA
"2228",1119,"04/01/06","Charlotte","NC",35.2,-80.8,1,NA
"2229",1120,"03/31/06","Sylvester","GA",31.6,-83.9,1,NA
"2230",1121,"03/31/06","Chesapeake","VA",36.7,-76.2,1,NA
"2231",1122,"03/31/06","Tuscola","TX",32.2,-99.9,1,NA
"2232",1123,"03/31/06","Rex","GA",33.6,-84.3,1,NA
"2233",1124,"03/31/06","Summerton","SC",33.6,-80.4,1,NA
"2234",1125,"03/31/06","Joshua","TX",32.5,-97.4,1,NA
"2235",1126,"03/31/06","Spartanburg","SC",34.9,-82,1,NA
"2236",1127,"03/31/06","Wake Forest","NC",36,-78.6,1,NA
"2237",1128,"03/31/06","Springer","OK",34.3,-97.1,1,NA
"2238",1129,"03/31/06","Darlington","SC",34.3,-79.8,1,NA
"2239",1130,"03/31/06","New Bern","NC",35.1,-77,1,NA
"2240",1131,"03/31/06","Raleigh","NC",35.8,-78.6,1,NA
"2241",1132,"03/31/06","Troy","NC",35.4,-80,1,NA
"2242",1133,"03/31/06","Moulton","AL",34.5,-87.3,1,NA
"2243",1134,"03/31/06","Denton","TX",33.2,-97.1,1,NA
"2244",1135,"03/31/06","Sunset Beach","NC",33.5,-78.3,1,NA
"2245",1136,"03/31/06","Columbia","TN",35.6,-87,1,NA
"2246",1137,"03/31/06","Durham","NC",36,-78.9,1,NA
"2247",1138,"03/31/06","Vass","NC",35.2,-79.2,1,NA
"2248",1139,"03/31/06","Graford","TX",32.9,-98.3,1,NA
"2249",1140,"03/31/06","Llano","TX",30.6,-98.7,1,NA
"2250",1141,"03/31/06","Pflugerville","TX",30.4,-97.6,1,NA
"2251",1142,"03/31/06","Tuscumbia","AL",34.7,-87.7,1,NA
"2252",1143,"03/31/06","Aubrey","TX",33.3,-97,1,NA
"2253",1144,"03/31/06","Dalton","GA",34.8,-84.9,1,NA
"2254",1145,"03/31/06","Eastover","SC",33.9,-80.7,1,NA
"2255",1146,"03/31/06","Conyers","GA",33.7,-84,1,NA
"2256",1147,"03/31/06","Kilgore","TX",32.4,-94.9,1,NA
"2257",1148,"03/31/06","Shelby","NC",35.4,-81.6,1,NA
"2258",1149,"03/31/06","Mableton","GA",33.8,-84.6,1,NA
"2259",1150,"03/31/06","Bonham","TX",33.6,-96.2,1,NA
"2260",1151,"03/31/06","Monticello","AR",33.6,-91.8,1,NA
"2261",1152,"03/31/06","Idabel","OK",33.8,-94.8,1,NA
"2262",1153,"03/31/06","Chapel Hill","NC",35.9,-79,1,NA
"2263",1154,"03/31/06","Lancaster","OH",39.7,-82.6,1,NA
"2264",1155,"03/30/06","Lula","GA",34.4,-83.7,1,NA
"2265",1156,"03/30/06","Grayson","GA",33.9,-84,1,NA
"2266",1157,"03/30/06","Laurinburg","NC",34.8,-79.4,1,NA
"2267",1158,"03/30/06","Dunn","NC",35.3,-78.6,1,NA
"2268",1159,"03/30/06","Gardendale","AL",33.7,-86.8,1,NA
"2269",1160,"03/30/06","Tilden","TX",28.3,-98.7,1,NA
"2270",1161,"03/30/06","Dahlonega","GA",34.6,-84,1,NA
"2271",1162,"03/30/06","Rogers","AR",36.4,-94,1,NA
"2272",1163,"03/30/06","Newport","NC",34.8,-76.9,1,NA
"2273",1164,"03/30/06","Rome","GA",34.3,-85.1,1,NA
"2274",1165,"03/30/06","Dacula","GA",34,-83.9,1,NA
"2275",1166,"03/30/06","Jessup","GA",31.4,-81.5,1,NA
"2276",1167,"03/30/06","New Bern","NC",35.1,-77,1,NA
"2277",1168,"03/30/06","Oak Island","NC",33.9,-78.1,1,NA
"2278",1169,"03/30/06","Braselton","GA",34.1,-83.8,1,NA
"2279",1170,"03/30/06","Burneyville","OK",34,-97.3,1,NA
"2280",1171,"03/30/06","Cheraw","SC",34.6,-79.9,1,NA
"2281",1172,"03/30/06","Hazel Green","AL",35,-86.6,1,NA
"2282",1173,"03/30/06","Oriental","NC",35.1,-76.7,1,NA
"2283",1174,"03/30/06","Rogers","AR",36.4,-94,1,NA
"2284",1175,"03/30/06","Bryan","TX",30.6,-96.4,1,NA
"2285",1176,"03/30/06","Jacksonville","AL",33.9,-85.8,1,NA
"2286",1177,"03/30/06","Sanger","TX",33.4,-97.2,1,NA
"2287",1178,"03/30/06","Myrtle Beach","SC",33.8,-78.8,1,NA
"2288",1179,"03/30/06","Blackstock","SC",34.6,-81.1,1,NA
"2289",1180,"03/30/06","Cobden","IL",37.6,-89.2,1,NA
"2290",1181,"03/30/06","Athens","AL",34.8,-87,1,NA
"2291",1182,"03/30/06","Bowling Green","KY",37.1,-86.5,1,NA
"2292",1183,"03/30/06","Aiken","SC",33.6,-81.7,1,NA
"2293",1184,"03/30/06","Elkton","FL",29.8,-81.5,1,NA
"2294",1185,"03/30/06","Oakhurst","TX",30.7,-95.3,1,NA
"2295",1186,"03/29/06","Little Rock","AR",34.7,-92.3,1,NA
"2296",1187,"03/29/06","Mount Holly","NC",35.3,-81,1,NA
"2297",1188,"03/29/06","Scottsboro","AL",34.7,-86.1,1,NA
"2298",1189,"03/29/06","San Angelo","TX",31.6,-100.5,1,NA
"2299",1190,"03/29/06","Bolivia","NC",34,-78.2,1,NA
"2300",1191,"03/29/06","Gatesville","TX",31.4,-97.7,1,NA
"2301",1192,"03/29/06","Glenwood","AR",34.3,-93.6,1,NA
"2302",1193,"03/29/06","Guntersville","AL",34.3,-86.3,1,NA
"2303",1194,"03/29/06","Cedar Bluff","AL",34.3,-85.7,1,NA
"2304",1195,"03/29/06","Silsbee","TX",30.4,-94.2,1,NA
"2305",1196,"03/29/06","Glenwood","AR",34.3,-93.6,1,NA
"2306",1197,"03/28/06","Stillwater","OK",36.1,-97.1,1,NA
"2307",1198,"03/28/06","Concord","NC",35.4,-80.5,1,NA
"2308",1199,"03/28/06","Lawton","OK",34.5,-98.3,1,NA
"2309",1200,"03/28/06","Oriental","NC",35.1,-76.7,1,NA
"2310",1201,"03/28/06","Jasper","GA",34.5,-84.5,1,NA
"2311",1202,"03/28/06","Niceville","FL",30.5,-86.3,1,NA
"2312",1203,"03/28/06","Albany","GA",31.6,-84.2,1,NA
"2313",1204,"03/28/06","Elberton","GA",34.1,-82.8,1,NA
"2314",1205,"03/27/06","Camp Wood","TX",29.7,-100,1,NA
"2315",1206,"03/27/06","Grenada","MS",33.8,-89.8,1,NA
"2316",1207,"03/27/06","Olive Branch","MS",34.9,-89.8,1,NA
"2317",1208,"03/27/06","Granbury","TX",32.4,-97.7,1,NA
"2318",1209,"03/27/06","Pine Mills","TX",32.7,-95.3,1,NA
"2319",1210,"03/27/06","Fort Smith","AR",35.4,-94.4,1,NA
"2320",1211,"03/27/06","Toney","AL",34.9,-86.7,1,NA
"2321",1212,"03/27/06","West","TX",31.8,-97.1,1,NA
"2322",1213,"03/27/06","Ripley","TN",35.8,-89.5,1,NA
"2323",1214,"03/27/06","Valley","AL",32.8,-85.2,1,NA
"2324",1215,"03/27/06","Terre Haute","IN",39.4,-87.4,1,NA
"2325",1216,"03/26/06","Niceville","FL",30.5,-86.3,1,NA
"2326",1217,"03/26/06","DeQueen","AR",34,-94.4,1,NA
"2327",1218,"03/26/06","Pine Bluff","AR",34.2,-91.9,1,NA
"2328",1219,"03/25/06","waxhaw","NC",34.9,-80.7,1,NA
"2329",1220,"03/25/06","Long Beach","MS",30.4,-89.2,1,NA
"2330",1221,"03/25/06","Laguna Park, TX","TX",31.8,-97.5,1,NA
"2331",1222,"03/25/06","Laguna Park, TX","TX",31.8,-97.5,1,NA
"2332",1223,"03/25/06","Gamaliel","AR",36.5,-92.2,1,NA
"2333",1224,"03/25/06","Skipwith","VA",36.7,-78.5,1,NA
"2334",1225,"03/24/06","RINGGOLD","LA",32.3,-93.3,1,NA
"2335",1226,"03/24/06","Oak Leaf","TX",32.5,-96.9,1,NA
"2336",1227,"03/24/06","Midlothian","TX",32.5,-97,1,NA
"2337",1228,"03/23/06","Greenwood","SC",34.1,-82.2,1,NA
"2338",1229,"03/23/06","Madison","GA",33.6,-83.5,1,NA
"2339",1230,"03/22/06","Beulah","AL",32.7,-85.1,1,NA
"2340",1231,"03/22/06","Holland","AR",34.9,-92.1,1,NA
"2341",1232,"03/22/06","Collierville","TN",35.1,-89.7,1,NA
"2342",1233,"03/22/06","Dothan","AL",31.2,-85.5,1,NA
"2343",1234,"03/22/06","Gainesville","FL",29.6,-82.3,1,NA
"2344",1235,"03/22/06","Fortson","GA",32.6,-85,1,NA
"2345",1236,"03/22/06","Okatie","SC",32.4,-81,1,NA
"2346",1237,"03/22/06","Fort Gordon","GA",33.4,-82.2,1,NA
"2347",1238,"03/22/06","Augusta","GA",33.4,-82,1,NA
"2348",1239,"03/22/06","Irmo","SC",34.1,-81.2,1,NA
"2349",1240,"03/21/06","Woodstock","GA",34.1,-84.5,1,NA
"2350",1241,"03/21/06","Florence","SC",34.2,-79.8,1,NA
"2351",1242,"03/21/06","Stockbridge","GA",33.6,-84.2,1,NA
"2352",1243,"03/21/06","Taylorsville","GA",34.1,-85,1,NA
"2353",1244,"03/21/06","Tifton","GA",31.5,-83.5,1,NA
"2354",1245,"03/21/06","Orange City","FL",28.9,-81.3,1,NA
"2355",1246,"03/20/06","Austin","TX",30.2,-97.7,1,NA
"2356",1247,"03/20/06","Center","AL",34.3,-87.6,1,NA
"2357",1248,"03/20/06","Junction City","AR",33.1,-92.7,1,NA
"2358",1249,"03/19/06","New Concord","KY",36.5,-88.1,1,NA
"2359",1250,"03/19/06","Moss Point","MS",30.4,-88.5,1,NA
"2360",1251,"03/19/06","Madison","MS",32.5,-90.2,1,NA
"2361",1252,"03/18/06","Coalfield","TN",36,-84.5,1,NA
"2362",1253,"03/18/06","Austin","TX",30.2,-97.7,1,NA
"2363",1254,"03/18/06","Mustang","OK",35.4,-97.7,1,NA
"2364",1255,"03/18/06","Coalfield","TN",36,-84.5,1,NA
"2365",1256,"03/17/06","Live Oak","FL",30.3,-83.1,1,NA
"2366",1257,"03/17/06","Charleston","SC",32.8,-79.9,1,NA
"2367",1258,"03/17/06","Kilgore","TX",32.4,-94.9,1,NA
"2368",1259,"03/17/06","Sylvester","GA",31.6,-83.9,1,NA
"2369",1260,"03/17/06","Irmo","SC",34.1,-81.2,1,NA
"2370",1261,"03/17/06","Evans","GA",33.6,-82.2,1,NA
"2371",1262,"03/17/06","Georgetown","GA",31.9,-85,1,NA
"2372",1263,"03/17/06","Milton","FL",30.8,-87,1,NA
"2373",1264,"03/17/06","Groves","TX",30,-93.9,1,NA
"2374",1265,"03/16/06","Houston 77059ttt","TX",29.5,-95.2,1,NA
"2375",1266,"03/16/06","McLeod","TX",33,-94.1,1,NA
"2376",1267,"03/16/06","Valdosta","GA",30.8,-83.3,1,NA
"2377",1268,"03/16/06","Dothan","AL",31.2,-85.5,1,NA
"2378",1269,"03/16/06","Huntsville","TX",30.7,-95.6,1,NA
"2379",1270,"03/16/06","Live Oak","FL",30.3,-83.1,1,NA
"2380",1271,"03/16/06","Crestview","FL",30.8,-86.6,1,NA
"2381",1272,"03/16/06","Bogalusa","LA",30.7,-89.9,1,NA
"2382",1273,"03/15/06","Glencoe","AL",34,-85.9,1,NA
"2383",1274,"03/15/06","Vernon","AL",33.8,-88.1,1,NA
"2384",1275,"03/15/06","North Augusta","SC",33.5,-81.9,1,NA
"2385",1276,"03/15/06","Jefferson","TX",32.8,-94.3,1,NA
"2386",1277,"03/15/06","Spicewood","TX",30.4,-98.1,1,NA
"2387",1278,"03/15/06","Utica","MS",32.1,-90.6,1,NA
"2388",1279,"03/15/06","Lampasas","TX",31.1,-98.2,1,NA
"2389",1280,"03/15/06","Robinsonville","MS",34.8,-90.3,1,NA
"2390",1281,"03/15/06","Batesville","MS",34.3,-89.9,1,NA
"2391",1282,"03/15/06","Petal","MS",31.3,-89.2,1,NA
"2392",1283,"03/15/06","Vancleave","MS",30.5,-88.5,1,NA
"2393",1284,"03/14/06","Starkville","MS",33.4,-88.8,1,NA
"2394",1285,"03/14/06","Macon","GA",32.9,-83.5,1,NA
"2395",1286,"03/14/06","Peachtree City","GA",33.4,-84.6,1,NA
"2396",1287,"03/14/06","Macon","GA",32.9,-83.5,1,NA
"2397",1288,"03/14/06","Albany","GA",31.6,-84.2,1,NA
"2398",1289,"03/14/06","Andalusia","AL",31.3,-86.6,1,NA
"2399",1290,"03/14/06","Mobile","AL",30.7,-88,1,NA
"2400",1291,"03/14/06","Jacksons Gap","AL",32.9,-85.8,1,NA
"2401",1292,"03/14/06","georgetown","TX",30.6,-97.7,1,NA
"2402",1293,"03/14/06","Montgomery","AL",32.4,-86.3,1,NA
"2403",1294,"03/14/06","Woodbine","GA",31,-81.6,1,NA
"2404",1295,"03/13/06","Vicksburg","MS",32.3,-90.9,1,NA
"2405",1296,"03/13/06","Covington","LA",30.5,-90.1,1,NA
"2406",1297,"03/13/06","Chauncey","GA",32.1,-83,1,NA
"2407",1298,"03/13/06","Fort Polk","LA",31,-93.1,1,NA
"2408",1299,"03/13/06","Colfax","LA",31.5,-92.7,1,NA
"2409",1300,"03/13/06","gulfport","MS",30.4,-89.1,1,NA
"2410",1301,"03/13/06","Winnie","TX",29.8,-94.3,1,NA
"2411",1302,"03/13/06","Malvern","AR",34.3,-92.9,1,NA
"2412",1303,"03/13/06","Natchez","MS",31.5,-91.4,1,NA
"2413",1304,"03/13/06","Cuero","TX",29.1,-97.2,1,NA
"2414",1305,"03/13/06","Mertzon","TX",31.3,-100.9,1,NA
"2415",1306,"03/12/06","Barnesville","GA",33,-84.1,1,NA
"2416",1307,"03/12/06","Bryan","TX",30.6,-96.4,1,NA
"2417",1308,"03/12/06","Blackshear","GA",31.3,-82.3,1,NA
"2418",1309,"03/12/06","Orange Park","FL",30.1,-81.8,1,NA
"2419",1310,"03/12/06","Beverly Hills","FL",28.9,-82.5,1,NA
"2420",1311,"03/12/06","Greenville","AL",31.8,-86.6,1,NA
"2421",1312,"03/12/06","Tifton","GA",31.4,-83.5,1,NA
"2422",1313,"03/12/06","Beaumont","TX",30.1,-94.1,1,NA
"2423",1314,"03/12/06","Apalachicola","FL",29.7,-85.1,1,NA
"2424",1315,"03/12/06","Ozark","AL",31.5,-85.6,1,NA
"2425",1316,"03/12/06","Greenville","AL",31.8,-86.6,1,NA
"2426",1317,"03/12/06","Sumner","GA",31.5,-83.7,1,NA
"2427",1318,"03/12/06","Polk City","FL",28.2,-81.8,1,NA
"2428",1319,"03/12/06","College Station","TX",30.6,-96.3,1,NA
"2429",1320,"03/12/06","Opelika","AL",32.6,-85.3,1,NA
"2430",1321,"03/12/06","Vidor","TX",30.2,-94,1,NA
"2431",1322,"03/12/06","Beaumont","TX",30.1,-94.1,1,NA
"2432",1323,"03/12/06","Gainesville","FL",29.6,-82.3,1,NA
"2433",1324,"03/12/06","Cypress","TX",30,-95.7,1,NA
"2434",1325,"03/12/06","Sugar Land","TX",29.6,-95.6,1,NA
"2435",1326,"03/12/06","Sumrall","MS",31.3,-89.6,1,NA
"2436",1327,"03/12/06","Darien","GA",31.4,-81.4,1,NA
"2437",1328,"03/12/06","Geneva","AL",31.1,-85.9,1,NA
"2438",1329,"03/12/06","Sunset","LA",30.4,-92.1,1,NA
"2439",1330,"03/11/06","Charlotte","NC",35.2,-80.8,1,NA
"2440",1331,"03/11/06","Devine","TX",29.2,-99,1,NA
"2441",1332,"03/11/06","Brandon","MS",32.3,-89.9,1,NA
"2442",1333,"03/11/06","Daleville","AL",31.2,-85.8,1,NA
"2443",1334,"03/11/06","Austin","TX",30.2,-97.7,1,NA
"2444",1335,"03/11/06","Clermont","FL",28.5,-81.7,1,NA
"2445",1336,"03/11/06","Clanton","AL",32.8,-86.7,1,NA
"2446",1337,"03/11/06","Canton","MS",32.6,-90,1,NA
"2447",1338,"03/11/06","Starkville","MS",33.4,-88.8,1,NA
"2448",1339,"03/11/06","Madison","MS",32.5,-90.2,1,NA
"2449",1340,"03/11/06","Marion","AL",32.7,-87.3,1,NA
"2450",1341,"03/11/06","Gantt","AL",31.4,-86.4,1,NA
"2451",1342,"03/11/06","Gainesville","FL",29.6,-82.3,1,NA
"2452",1343,"03/11/06","Conroe","TX",30.3,-95.4,1,NA
"2453",1344,"03/11/06","Crawfordville","FL",30.2,-84.4,1,NA
"2454",1345,"03/11/06","Raleigh","MS",32.1,-89.5,1,NA
"2455",1346,"03/11/06","Perry","FL",30.1,-83.6,1,NA
"2456",1347,"03/11/06","Jacksonville","FL",30.3,-81.8,1,NA
"2457",1348,"03/11/06","Tallahassee","FL",30.4,-84.3,1,NA
"2458",1349,"03/11/06","Austin","TX",30.2,-97.7,1,NA
"2459",1350,"03/11/06","Holder","FL",29,-82.4,1,NA
"2460",1351,"03/11/06","Taylorsville","MS",31.9,-89.4,1,NA
"2461",1352,"03/11/06","Breaux Bridge","LA",30.3,-91.9,1,NA
"2462",1353,"03/11/06","Meridian","MS",32.3,-88.6,1,NA
"2463",1354,"03/11/06","Collingsville","AL",34.3,-85.9,1,NA
"2464",1355,"03/11/06","Hampstead","NC",34.4,-77.7,1,NA
"2465",1356,"03/10/06","Georgiana","AL",31.6,-86.7,1,NA
"2466",1357,"03/10/06","Picayune","MS",30.6,-89.7,1,NA
"2467",1358,"03/10/06","Pensacola","FL",30.4,-87.2,1,NA
"2468",1359,"03/10/06","Houston","TX",29.8,-95.4,1,NA
"2469",1360,"03/10/06","O'Brien","FL",30,-82.9,1,NA
"2470",1361,"03/10/06","Palm Coast","FL",29.5,-81.2,1,NA
"2471",1362,"03/10/06","Monroe","LA",32.5,-92.1,1,NA
"2472",1363,"03/10/06","Grapevine","TX",32.9,-97.1,1,NA
"2473",1364,"03/10/06","Cottondale","AL",33.2,-87.4,1,NA
"2474",1365,"03/10/06","Hattiesburg","MS",31.2,-89.3,1,NA
"2475",1366,"03/10/06","Laurel","MS",31.7,-89.1,1,NA
"2476",1367,"03/10/06","Brandon","MS",32.3,-89.9,1,NA
"2477",1368,"03/10/06","Louisville","MS",33.1,-89,1,NA
"2478",1369,"03/10/06","Whitney","TX",32,-97.3,1,NA
"2479",1370,"03/10/06","Homer","LA",32.7,-93,1,NA
"2480",1371,"03/10/06","Meridian","MS",32.3,-88.6,1,NA
"2481",1372,"03/10/06","Omaha","TX",33.2,-94.8,1,NA
"2482",1373,"03/10/06","Hammond","LA",30.5,-90.5,1,NA
"2483",1374,"03/10/06","St. Martinville","LA",30.1,-91.8,1,NA
"2484",1375,"03/10/06","Shreveport","LA",32.5,-93.7,1,NA
"2485",1376,"03/10/06","Waycross","GA",31.2,-82.3,1,NA
"2486",1377,"03/09/06","Gautier","MS",30.4,-88.6,1,NA
"2487",1378,"03/09/06","Gautier","MS",30.4,-88.6,1,NA
"2488",1379,"03/09/06","China Spring","TX",31.7,-97.3,1,NA
"2489",1380,"03/09/06","Atmore","AL",31.1,-87.5,1,NA
"2490",1381,"03/08/06","Apopka","FL",28.7,-81.5,1,NA
"2491",1382,"03/08/06","Naples","FL",26.1,-81.8,1,NA
"2492",1383,"03/08/06","Corpus Christi","TX",27.8,-97.4,1,NA
"2493",1384,"03/07/06","Gueydan","LA",30,-92.6,1,NA
"2494",1385,"03/07/06","Silver Springs","FL",29.2,-82,1,NA
"2495",1386,"03/07/06","Mt Holly","AR",33.3,-92.9,1,NA
"2496",1387,"03/05/06","Raisin","TX",28.7,-97.1,1,NA
"2497",1388,"03/05/06","Brooksville","FL",28.6,-82.4,1,NA
"2498",1389,"03/05/06","High Springs","FL",29.9,-82.6,1,NA
"2499",1390,"03/05/06","Crawfordville","FL",30.2,-84.4,1,NA
"2500",1391,"03/04/06","Abita Springs","LA",30.5,-89.9,1,NA
"2501",1392,"03/04/06","Houston","TX",29.8,-95.4,1,NA
"2502",1393,"03/04/06","Humble","TX",30,-95.2,1,NA
"2503",1394,"03/04/06","Inverness","FL",28.8,-82.3,1,NA
"2504",1395,"03/04/06","Sulphur","LA",30.2,-93.4,1,NA
"2505",1396,"03/03/06","Lake Jackson","TX",29,-95.5,1,NA
